Teff   ; [Fe/H] ; [C/Fe] ; log(g) ; index  
4750.0 ;  -3.5  ;  -1.0  ;  3.0   ; 70446 
4750.0 ;  -3.5  ;  1.5   ;  1.0   ; 24800 
4750.0 ;  -3.5  ;  2.5   ;  0.0   ; 9818  
4750.0 ;  -3.5  ;  4.0   ;  1.5   ; 48392 
4750.0 ;  -2.0  ;  -1.0  ;  5.0   ; 29170 
4750.0 ;  -2.0  ;  1.5   ;  1.5   ; 60183 
4750.0 ;  -2.0  ;  2.5   ;  4.0   ; 29596 
4750.0 ;  -2.0  ;  4.0   ;  4.0   ; 52769 
4750.0 ;  -1.0  ;  -1.0  ;  2.5   ; 74450 
4750.0 ;  -1.0  ;  1.5   ;  5.0   ; 444   
4750.0 ;  -1.0  ;  2.5   ;  0.5   ; 56802 
4750.0 ;  -1.0  ;  4.0   ;  4.5   ; 550   
4750.0 ;  0.0   ;  -1.0  ;  2.0   ; 44460 
4750.0 ;  0.0   ;  1.5   ;  3.0   ; 67732 
4750.0 ;  0.0   ;  2.5   ;  5.0   ; 69975 
4750.0 ;  0.0   ;  4.0   ;  1.5   ; 67787 
4750.0 ;  1.0   ;  -1.0  ;  4.5   ; 51243 
4750.0 ;  1.0   ;  1.5   ;  0.5   ; 88276 
4750.0 ;  1.0   ;  2.5   ;  4.0   ; 3883  
4750.0 ;  1.0   ;  4.0   ;  2.5   ; 60096 
5250.0 ;  -3.5  ;  -1.0  ;  2.5   ; 16633 
5250.0 ;  -3.5  ;  1.5   ;  2.5   ; 4267  
5250.0 ;  -3.5  ;  2.5   ;  2.5   ; 26827 
5250.0 ;  -3.5  ;  4.0   ;  3.0   ; 21002 
5250.0 ;  -2.0  ;  -1.0  ;  4.5   ; 56239 
5250.0 ;  -2.0  ;  1.5   ;  0.0   ; 8980  
5250.0 ;  -2.0  ;  2.5   ;  1.0   ; 33098 
5250.0 ;  -2.0  ;  4.0   ;  1.5   ; 54210 
5250.0 ;  -1.0  ;  -1.0  ;  0.0   ; 26017 
5250.0 ;  -1.0  ;  1.5   ;  0.0   ; 4298  
5250.0 ;  -1.0  ;  2.5   ;  3.5   ; 40650 
5250.0 ;  -1.0  ;  4.0   ;  3.0   ; 55218 
